#MinR MinRMinus MinRPlus MaxR MaxRMinus MaxRPlus Maxz MaxzMinus MaxzPlus Minr MinrMinus MinrPlus Maxr MaxrMinus MaxrPlus MeanR MeanRMinus MeanRPlus Energy EnergyMinus EnergyPlus AngMom AngMomMinus AngMomPlus Eccentricity EccentricityPlus EccentricityMinus
8.10624 0.00822812 0.00817297 8.9406 0.0529272 0.062321 0.476878 0.0557623 0.054382 8.11511 0.00625242 0.00615992 8.94344 0.0526381 0.0623357 8.53001 0.0307467 0.0369342 -153825 170.158 205.685 -1973.28 9.37331 8.2573 0.0485904 0.00262222 0.00305287 
7.3519 1.70691 0.645088 9.96406 1.23968 5.462 0.657665 0.439489 1.26332 7.41578 1.76991 0.592064 9.97118 1.24047 5.46722 8.66066 0.817202 3.27642 -153196 6220.98 14936.2 -1967.1 340.99 333.745 0.194453 0.135503 0.264507 
